  no.      freq.      period     coherency     phase     Gain relative to 2
  338    0.06460    15.47929     0.1675470   183.481     0.0355812
  339    0.06479    15.43363     0.1778636   182.662     0.0373287
  340    0.06498    15.38824     0.1811911   182.462     0.0372168
  341    0.06518    15.34311     0.1854772   181.481     0.0365902
  342    0.06537    15.29825     0.1872976   180.391     0.0354025
  343    0.06556    15.25364     0.1895107   179.446     0.0345574
  344    0.06575    15.20930     0.1943428   178.358     0.0349630
  345    0.06594    15.16522     0.1909486   177.979     0.0345869
  346    0.06613    15.12139     0.1829540   178.693     0.0333137
  347    0.06632    15.07781     0.1814333   180.430     0.0326466
  348    0.06651    15.03448     0.1855060   181.686     0.0328695
  349    0.06670    14.99140     0.1778059   180.927     0.0333873
  350    0.06690    14.94857     0.1555820   179.539     0.0334382
  351    0.06709    14.90598     0.1413956   178.655     0.0326731
  352    0.06728    14.86364     0.1376636   178.698     0.0312207
  353    0.06747    14.82153     0.1386256   180.076     0.0309329
  354    0.06766    14.77966     0.1458735   181.140     0.0322370
  355    0.06785    14.73803     0.1499285   180.556     0.0325564
  356    0.06804    14.69663     0.1420583   179.716     0.0314255
  357    0.06823    14.65546     0.1288665   180.276     0.0302380
  358    0.06843    14.61452     0.1264024   181.721     0.0306370
  359    0.06862    14.57382     0.1300619   182.363     0.0315732
  360    0.06881    14.53333     0.1295541   181.082     0.0307034
  361    0.06900    14.49307     0.1178082   178.393     0.0271375
  362    0.06919    14.45304     0.1057061   178.438     0.0239309
  363    0.06938    14.41322     0.1112951   182.191     0.0241093
  364    0.06957    14.37363     0.1316314   183.931     0.0264857
  365    0.06976    14.33425     0.1440123   183.531     0.0276895
  366    0.06995    14.29508     0.1429684   182.950     0.0273804
  367    0.07015    14.25613     0.1401389   182.644     0.0262318
  368    0.07034    14.21739     0.1467811   182.042     0.0261325
  369    0.07053    14.17886     0.1541215   180.378     0.0273754
  370    0.07072    14.14054     0.1518374   178.676     0.0279628
  371    0.07091    14.10243     0.1479365   178.804     0.0282670
  372    0.07110    14.06452     0.1494357   180.118     0.0295801
  373    0.07129    14.02681     0.1491890   179.239     0.0299243
  374    0.07148    13.98930     0.1371816   176.671     0.0270400
  375    0.07167    13.95200     0.1184660   176.746     0.0240448
  376    0.07187    13.91489     0.1104739   179.867     0.0246752
  377    0.07206    13.87798     0.1138802   180.984     0.0273239
  378    0.07225    13.84127     0.1146053   180.547     0.0282689
  379    0.07244    13.80475     0.1146197   181.671     0.0276570
  380    0.07263    13.76842     0.1225290   182.858     0.0272181
  381    0.07282    13.73228     0.1400299   182.251     0.0283451
  382    0.07301    13.69633     0.1613200   181.796     0.0306970
  383    0.07320    13.66057     0.1833652   182.006     0.0313620
  384    0.07339    13.62500     0.1993340   181.340     0.0299214
  385    0.07359    13.58961     0.1824924   180.237     0.0290932
  386    0.07378    13.55440     0.1637820   180.546     0.0306627
  387    0.07397    13.51938     0.1543653   180.484     0.0329625
  388    0.07416    13.48454     0.1436794   179.261     0.0331979
  389    0.07435    13.44987     0.1308237   179.755     0.0310667
  390    0.07454    13.41538     0.1323247   182.719     0.0312239
  391    0.07473    13.38107     0.1413472   184.235     0.0329360
  392    0.07492    13.34694     0.1411717   182.438     0.0319474
  393    0.07511    13.31298     0.1297978   178.271     0.0293801
  394    0.07531    13.27919     0.1226034   176.360     0.0283952
  395    0.07550    13.24557     0.1231794   178.466     0.0279397
  396    0.07569    13.21212     0.1281424   180.130     0.0270348
  397    0.07588    13.17884     0.1322181   180.853     0.0264472
  398    0.07607    13.14573     0.1369364   183.319     0.0262167
  399    0.07626    13.11278     0.1443466   185.172     0.0268489
  400    0.07645    13.08000     0.1462778   185.614     0.0277955
  401    0.07664    13.04738     0.1426686   186.311     0.0283319
  402    0.07683    13.01493     0.1473928   185.471     0.0289386
  403    0.07703    12.98263     0.1610131   183.259     0.0290424
  404    0.07722    12.95049     0.1627809   181.036     0.0288670
  405    0.07741    12.91852     0.1456193   180.095     0.0290127
